file_name,ai_prediction,human_predicition,IsItMatch
1655308198715_jpg.rf.b98965f648858f8d11bd2665dd910144_crop_2.jpg,minivan,suv,
1655308384393_jpg.rf.ecc48444f616bd59be17a7e4b138f072_crop_1.jpg,pick-up,pick-up,
1655308513379_jpg.rf.d7c30e07ede8b5ba96d63327fa7e7aed_crop_1.jpg,minivan,pick-up,
1655371350670_jpg.rf.e52766c395348a29142f61800a7cf3e8_crop_3.jpg,suv,van,
1655371350670_jpg.rf.e52766c395348a29142f61800a7cf3e8_crop_5.jpg,sedan,minivan,
1655371544792_jpg.rf.fa00544fb765c471850984fd9bfdc47d_crop_2.jpg,kabriolet,minivan,
1655371798686_jpg.rf.6e2010cc395bcc01a4ad0e5e4151827c_crop_3.jpg,hatchback,hatchback,
1655970336840_jpg.rf.d78eb9511a654fa15ca163a1c4b6b039_crop_2.jpg,kabriolet,hatchback,
1655970398154_jpg.rf.7545f684ab55ba7878417b697afcb5b4_crop_1.jpg,suv,suv,
1655970816540_jpg.rf.d3daec852cf46d4ee134718c0c133436_crop_2.jpg,kombi,kombi,
1655970924890_jpg.rf.eceea29306d41d92692b487008ed80d3_crop_2.jpg,kombi,hatchback,
1655970949108_jpg.rf.a3356930c6ebb267b821c7b3b482f108_crop_5.jpg,komb,kombi,
1655970949108_jpg.rf.a3356930c6ebb267b821c7b3b482f108_crop_6.jpg,pick-up,pick-up,
1655971135686_jpg.rf.2191b578d0ee98df0bbfcb0c80102f57_crop_1.jpg,kabriolet,sedan,
1655971135686_jpg.rf.2191b578d0ee98df0bbfcb0c80102f57_crop_2.jpg,kombi,van,
1655971135686_jpg.rf.2191b578d0ee98df0bbfcb0c80102f57_crop_3.jpg,pick-up,pick-up,
1655971184349_jpg.rf.82e058e5730d97d25cb546312f75bc55_crop_1.jpg,kombi,sedan,
1655971502090_jpg.rf.e9665c865db9432e8bec479c430d2407_crop_1.jpg,kombi,kombi,
1655981153825_jpg.rf.e58722273fe782cc7a2831410bb7c0d9_crop_2.jpg,kombi,kombi,
1655981419288_jpg.rf.3b6409a3251de6c5beedca32fef6f652_crop_5.jpg,suv,pick-up,
1655981419288_jpg.rf.3b6409a3251de6c5beedca32fef6f652_crop_6.jpg,kombi,kombi,
1655981419288_jpg.rf.3b6409a3251de6c5beedca32fef6f652_crop_6.jpg,kombi,sedan,
1655988800863_jpg.rf.32cc5b4530e04ed29bc6922ed6fd913e_crop_1.jpg,kabriolet,pick-up,
1655988800863_jpg.rf.32cc5b4530e04ed29bc6922ed6fd913e_crop_2.jpg,van,pick-up,
1655989069075_jpg.rf.9c93fc64e0ffebaa80167b8be4a5561d_crop_1.jpg,kombi,hatchback,
1655989263486_jpg.rf.fc697fac4e91051483b8d3d3ec659d9b_crop_2.jpg,kombi,van,
1655989263486_jpg.rf.fc697fac4e91051483b8d3d3ec659d9b_crop_3.jpg,kombi,hatchback,
1655989416990_jpg.rf.183170d0ba88c754863350a21aace55d_crop_2.jpg,suv,suv,
1655989625925_jpg.rf.2c393d3007ba0ce3e7459e5a9fe3a41f_crop_1.jpg,sedan,sedan,
1655989625925_jpg.rf.2c393d3007ba0ce3e7459e5a9fe3a41f_crop_2.jpg,suv,suv,
1655989808835_jpg.rf.b9f2089e4daded6e71336e05ac952dd6_crop_1.jpg,kabriolet,sedan,
1655989808835_jpg.rf.b9f2089e4daded6e71336e05ac952dd6_crop_2.jpg,kabriolet,suv,
1655989808835_jpg.rf.b9f2089e4daded6e71336e05ac952dd6_crop_3.jpg,suv,pick-up,
1655990652859_jpg.rf.8a332ab0ac82037ed560736f934d494d_crop_2.jpg,kombi,hatchback,
1655990652859_jpg.rf.8a332ab0ac82037ed560736f934d494d_crop_3.jpg,sedan,sedan,
1655990652859_jpg.rf.8a332ab0ac82037ed560736f934d494d_crop_4.jpg,suv,suv,
1655990652859_jpg.rf.8a332ab0ac82037ed560736f934d494d_crop_5.jpg,kombi,pick-up,
1655991086138_jpg.rf.e8d7ec16b8782c2bf932fae36e705367_crop_2.jpg,kabriolet,minivan,
1655991126945_jpg.rf.35ac00389901dbb583b07cd1039030aa_crop_4.jpg,van,suv,
1655992542023_jpg.rf.bea8d29680890cb307073b63409f11e3_crop_5.jpg,suv,suv,
1655992820532_jpg.rf.a29309ad066da77d3c5401ea7fd91953_crop_2.jpg,kombi,kombi,
1655992867331_jpg.rf.8ad222f94c10b52967a44f9b24be8d77_crop_1.jpg,kombi,sedan,
1655993135908_jpg.rf.836dfa7584dedcaa2a975940c7485d09_crop_1.jpg,truck,truck,
1656015458984_jpg.rf.8526dc4664b4a34db3c889f2e5ae0129_crop_4.jpg,kabriolet,suv,
1656015504556_jpg.rf.b06ff53708f1ee36686d16c17862c84f_crop_3.jpg,kombi,minivan,
1656015504556_jpg.rf.b06ff53708f1ee36686d16c17862c84f_crop_4.jpg,kombi,sedan,
1656015694319_jpg.rf.450c55a270bd39a1f9bf9e132a484997_crop_1.jpg,suv,pick-up,
1656015735078_jpg.rf.68748e3862d7dc6b514d61f354e0ffd8_crop_2.jpg,kombi,minivan,
1656015893022_jpg.rf.ee023546450c49f4cd6c8888888958ec_crop_1.jpg,kabriolet,hatchback,
1656016329583_jpg.rf.e7b6b0a79a70bb88b6f930edca38d077_crop_3.jpg,van,van,
1656016338175_jpg.rf.75e04d73659b9c118885ffb4d20b7c3e_crop_2.jpg,kombi,minivan,
1656022178543_jpg.rf.c3c9c453f329f56200b635d42530d17f_crop_3.jpg,van,van,
1656106981457_jpg.rf.37780c6cc65afb773e49f56635e34aa8_crop_2.jpg,kombi,suv,
1656107457239_jpg.rf.f9b0204332c82f05d7c8495cc1f0780d_crop_1.jpg,sedan,sedan,
1656146340441_jpg.rf.4b567ff7a3f3781e3a9cf9c5c6cc7948_crop_1.jpg,minivan,hatchback,
1656146340441_jpg.rf.4b567ff7a3f3781e3a9cf9c5c6cc7948_crop_4.jpg,kombi,sedan,
1656146541472_jpg.rf.ab29dce694a2e9518ed1bdea82df6196_crop_1.jpg,pick-up,pick-up,
1656146541472_jpg.rf.ab29dce694a2e9518ed1bdea82df6196_crop_2.jpg,kombi,kombi,
1656146541472_jpg.rf.ab29dce694a2e9518ed1bdea82df6196_crop_3.jpg,pick-up,pick-up,
1656146975236_jpg.rf.847612ebd3966bf5680306f0d9464e56_crop_4.jpg,suv,suv,
1656147833596_jpg.rf.49bb38d3f7de1f0bf1c88d0c4fd5c1e6_crop_1.jpg,kombi,kombi,
1656170427348_jpg.rf.c5ab049778ceb64425ec3283576bf0d5_crop_1.jpg,kombi,sedan,
1656170621766_jpg.rf.d05a2c67a5fe9ba4f03c6cde569f0926_crop_1.jpg,kombi,kombi,
1656181005206_jpg.rf.b1458fe549e15ea17d77b4290a432cfd_crop_1.jpg,kombi,kombi,
1656230174905_jpg.rf.986f5f5086a5c9a7a4555d53f3d7b80e_crop_1.jpg,kabriolet,sedan,
1656230174905_jpg.rf.986f5f5086a5c9a7a4555d53f3d7b80e_crop_2.jpg,luxury,luxury,
1656230739237_jpg.rf.d9147a2be604c05e9213c11390f3d0f2_crop_1.jpg,kombi,sedan,
1656230739237_jpg.rf.d9147a2be604c05e9213c11390f3d0f2_crop_2.jpg,pick-up,pick-up,
1656236935888_jpg.rf.400fe06ec568ba6237506453d76bcf0c_crop_1.jpg,kabriolet,kombi,
1656236935888_jpg.rf.400fe06ec568ba6237506453d76bcf0c_crop_2.jpg,suv,suv,
1656237115983_jpg.rf.88b943fbbe5055108aa7ace2114ede06_crop_1.jpg,van,pick-up,
1656237115983_jpg.rf.88b943fbbe5055108aa7ace2114ede06_crop_2.jpg,kombi,kombi,
1656237920342_jpg.rf.f9b3c9ded91b40b8f5987ddfabe1c015_crop_2.jpg,kabriolet,minivan,
1656251021448_jpg.rf.8db3027419676061d9f0e0baed20fc3d_crop_1.jpg,kombi,van,
1656251232839_jpg.rf.e17eda385a00f819446e2b5218313be3_crop_3.jpg,kombi,kombi,
1656251715936_jpg.rf.2050e0603a78dce00c29b67852c9c673_crop_1.jpg,kombi,suv,
1656251789926_jpg.rf.e7001507767b9865686fac95c009cb6a_crop_1.jpg,hatchback,hatchback,
1656254484677_jpg.rf.c0391e1302e0106d05d39404495419bc_crop_1.jpg,sedan,sedan,
1656254484677_jpg.rf.c0391e1302e0106d05d39404495419bc_crop_2.jpg,suv,suv,
1656608903537_jpg.rf.73d5a3ac8483555ff3d484b44370a18c_crop_1.jpg,van,pick-up,
1656609052665_jpg.rf.a1e54553eb2a02be50d0388aecba66ef_crop_1.jpg,kombi,suv,
1656609869832_jpg.rf.f5b31821e706d2a2d82dbbe3fa52c0c6_crop_1.jpg,hatchback,hatchback,
1656610315416_jpg.rf.28767723bcec4f7dff4b5e7608bf92cb_crop_1.jpg,minivan,suv,
1656611052777_jpg.rf.9ae56be35aaaba924a36102c0778270f_crop_2.jpg,kombi,suv,
1656666925865_jpg.rf.7c7dcd2f34fa60f85eea73f00f1563e0_crop_2.jpg,kombi,suv,
1656666925865_jpg.rf.7c7dcd2f34fa60f85eea73f00f1563e0_crop_3.jpg,sedan,sedan,
1656667275933_jpg.rf.f9ca8175cfe7ed687a776ff16e447391_crop_1.jpg,kombi,kombi,
1656677069363_jpg.rf.9e86c2353bc4421e1a0427aa338cf93e_crop_1.jpg,kombi,kombi,
1656677282803_jpg.rf.ab9df1c68849116bba8ce9ece8e2bd6d_crop_1.jpg,sedan,sedan,
1656678186432_jpg.rf.4d6d1e826e10e2b0b6c47f11a4fb829f_crop_1.jpg,kombi,kombi,
1656678186432_jpg.rf.4d6d1e826e10e2b0b6c47f11a4fb829f_crop_2.jpg,van,van,
1656679404274_jpg.rf.505d340b1ea1266cf2f8a339f68ba42a_crop_2.jpg,kombi,,
